1684336658948.57,Frametime,Average Frametime,Average FPS
1684336659041.37,92.79296875,97.3207916259766,10.2752966071546
1684336659136.75,95.385498046875,,
1684336659233.12,96.363525390625,,
1684336659325.32,92.203369140625,,
1684336659440.9,115.57861328125,,
1684336659537.25,96.349365234375,,
1684336659640.43,103.1806640625,,
1684336659736.79,96.36474609375,,
1684336659832.74,95.950927734375,,
1684336659924.34,91.599853515625,,
1684336660020.36,96.020263671875,,
1684336660116.85,96.48291015625,,
1684336660208.96,92.11376953125,,
1684336660304.69,95.723876953125,,
1684336660400.86,96.1767578125,,
1684336660493.24,92.376953125,,
1684336660588.85,95.611083984375,,
1684336660688.93,100.0849609375,,
1684336660792.67,103.73681640625,,
1684336660888.88,96.203857421875,,
1684336660984.63,95.752685546875,,
1684336661076.74,92.1162109375,,
1684336661173.45,96.71044921875,,
1684336661266.96,93.509521484375,,
1684336661376.7,109.736572265625,,
1684336661470.36,93.662353515625,,
1684336661565.21,94.846435546875,,
1684336661655.11,89.90380859375,,
1684336661752.77,97.65478515625,,
1684336661849.3,96.535888671875,,
1684336661945.26,95.95654296875,,
1684336662041.34,96.0830078125,,
1684336662137.32,95.98046875,,
1684336662244.53,107.20263671875,,
1684336662352.6,108.072265625,,
1684336662448.68,96.0791015625,,
1684336662540.96,92.281005859375,,
1684336662648.37,107.413818359375,,
1684336662745.71,97.341796875,,
1684336662844.5,98.784912109375,,
1684336662937.07,92.568603515625,,
1684336663033.52,96.448486328125,,
1684336663161.12,127.600341796875,,
1684336663254.68,93.55908203125,,
1684336663366.51,111.829833984375,,
1684336663458.57,92.066162109375,,
1684336663553.43,94.861083984375,,
1684336663649.36,95.925048828125,,
1684336663744.86,95.498291015625,,
1684336663837.5,92.641845703125,,
1684336663932.91,95.407958984375,,
1684336664022.79,89.885009765625,,
1684336664118.48,95.6884765625,,
1684336664216.32,97.838134765625,,
1684336664309.29,92.967041015625,,
1684336664404.19,94.9072265625,,
1684336664500.99,96.795166015625,,
1684336664592.63,91.642333984375,,
1684336664685,92.369384765625,,
1684336664784.32,99.324951171875,,
1684336664874.79,90.4658203125,,
1684336664969.14,94.353271484375,,
1684336665067.12,97.97314453125,,
1684336665154.66,87.546630859375,,
1684336665258.91,104.2490234375,,
1684336665354.29,95.378662109375,,
1684336665453.42,99.129638671875,,
1684336665548.52,95.09716796875,,
1684336665675.09,126.5771484375,,
1684336665778.63,103.534423828125,,
1684336665872.48,93.84716796875,,
1684336665973.25,100.772216796875,,
1684336666070.59,97.339599609375,,
1684336666166.93,96.343994140625,,
1684336666255.46,88.524658203125,,
1684336666352.6,97.138671875,,
1684336666448.61,96.009765625,,
1684336666540.55,91.93994140625,,
1684336666636.76,96.21826171875,,
1684336666734.24,97.474609375,,
